Course Name,category,sub Category,AVG Rating,number ratings,enrollment,last UPDATED,,lectures,duration,COST,COST2,discount,inst rating,inst review,inst student
Algorithmic Trading & Quantitative Analysis Using Python,design,Game Design,4.2,6340,54930,8/2020,,162,19h 23m,CAD$23.99,,90%,4.2,13453,179306
ISO/IEC 27001. Information Security Management System.,business,Data & Analytics,4.6,9281,48338,3/2018,,37,3h 54m,CAD$16.99,,56%,4.5,246008,1145810
Procedural Terrain Generation with Unity,development,Programming Languages,4.6,6833,21218,10/2020,,53,5h 14m,CAD$23.99,,91%,4.6,19993,55621
Jenkins 2 Bootcamp: Fully Automate Builds to Deployment 2020,development,Programming Languages,4.6,72122,717921,4/2020,,51,9h 30m,CAD$21.99,EUR26.13,88%,4.6,75247,751881
"Instagram Marketing 2020: Hashtags, Live, Stories, Ads &more",office productivity,Microsoft,4.5,2826,14269,10/2020,,41,7h 8m,CAD$19.99,EUR13.39,88%,4.5,11922,53659
How to come up with killer business ideas: complete workshop,business,Data & Analytics,3.3,320,2088,2/2017,,72,4h 8m,CAD$16.99,,90%,3.3,320,4012
Counselling Children & Adolescents - ACCREDITED CERTIFICATE,business,Data & Analytics,4.4,991,3563,8/2020,,91,5h 14m,CAD$28.99,,77%,4.4,2193,7422
Atlassian Bamboo from Beginner to Advanced!,development,Programming Languages,4.6,11215,62426,9/2020,,93,10h 8m,CAD$17.99,EUR12.05,90%,4.6,118738,498642
ABC of Cisco SDWAN Viptela Part 1,it software,IT Certification,4.7,556,2263,10/2020,,70,4h 58m,CAD$16.99,,88%,4.6,74745,517994
"MERN Stack Front To Back: Full Stack React, Redux & Node.js",development,Programming Languages,4.3,2060,10927,7/2020,,477,51h 59m,CAD$20.99,,87%,4.5,288507,988948
SAP ABAP Netweaver 7.50 certification preparation test,it software,IT Certification,4.2,681,1932,10/2020,,57,5h 3m,CAD$16.99,EUR11.38,64%,4.3,25989,242683
Mastering Ansys CFD (Level 2),personal development,Influence,4.3,1939,14048,4/2013,,142,10h 46m,CAD$20.99,,55%,4.5,25581,113480
Algorithms and Data Structures in Python,it software,Other,4.5,1281,9244,10/2020,,75,6h 6m,CAD$16.99,,89%,4.4,14384,63776
Learn Figma - UI/UX Design Essential Training,marketing,Analytics & Automation,4.3,261,937,12/2019,,73,7h 59m,CAD$17.99,EUR12.05,87%,4.3,698,2114
"Ace Your 101, Basic Keelboat Written Sailing Exam",lifestyle,Arts & Crafts,4.7,1659,7400,4/2018,,151,3h 23m,CAD$199.99,EUR30.82,69%,4.7,4274,16488
Apache Flink | A Real Time & Hands-On course on Flink,it software,Network & Security,4.5,197,1444,11/2019,,257,25h 5m,CAD$20.99,EUR14.06,40%,3.9,4868,61599
AZ-103 Microsoft Azure Administrator Practice Exam Questions,business,Entrepreneurship,4.5,1588,9192,11/2015,,24,2h 44m,CAD$19.99,,90%,4.5,21876,104566
Business English Course for ESL Students,office productivity,Microsoft,4.6,3267,15260,10/2020,,49,8h 46m,CAD$16.99,,87%,4.6,20290,104746
Writing Tools & Hacks: Copywriting/Blogging/Content Writing,music,Music Fundamentals,4.7,481,7214,3/2016,,40,5h 39m,CAD$20.99,,89%,4.5,3182,18455
Ultimate Autopilot Google Adsense Method - Free Traffic 2018,personal development,Personal Transformation,4.4,3813,14570,3/2015,,44,4h 12m,CAD$28.99,EUR19.42,58%,4.4,3813,14692
"Massive Tutorial: Master ""Massive"" in One Week",music,Other,4.2,271,1664,10/2020,,107,9h 53m,CAD$17.99,,76%,4.3,959,18678
Learn Cisco Sourcefire Firepower Intrusion Prevention System,it software,Other,4.4,16021,89678,8/2019,,74,6h 52m,CAD$19.99,,69%,4.4,112580,556435
Big Data on AWS,business,Strategy,4.5,1557,11830,5/2020,,120,9h 0m,CAD$20.99,,83%,4.5,30146,105935
CompTIA Network+ (N10-007) 6 Practice Exams and Simulations,it software,Other,4.6,17886,74575,7/2020,,19,1h 32m,CAD$16.99,,49%,4.6,90008,285853
Assertiveness Training: Gain Respect and Personal Power,lifestyle,Arts & Crafts,4.5,2288,11967,2/2018,,38,4h 40m,CAD$17.99,EUR37.52,90%,4.5,3479,14412
Drone Programming Primer for Software Development,business,Data & Analytics,4.5,655,2607,10/2020,,21,2h 30m,,EUR11.38,81%,4.4,924,3348
Small Talk Networking: How to Talk To Anyone,personal development,Personal Transformation,4.6,2456,14398,8/2020,,23,6h 19m,CAD$17.99,EUR22.78,49%,4.4,80108,271227
The 2018 Google Analytics Bootcamp,teaching academics,Language,4.1,373,2812,9/2020,,107,9h 17m,CAD$19.99,EUR13.39,88%,4.1,373,2812
The Ultimate Guide for Land Surveying with Drones - Part 2,business,Other,4.3,521,1532,10/2020,,103,9h 8m,CAD$21.99,,85%,4.3,2935,37791
eBay Drop Shipping Guide with No Inventory - Work From Home,business,Data & Analytics,4.3,1989,12715,11/2016,,64,3h 56m,CAD$16.99,,90%,4.2,4127,38588
AI-100: Azure AI Solution practice Test: Real Exam Questions,business,Data & Analytics,4.3,2174,8626,8/2020,,205,14h 25m,CAD$20.99,,89%,4.3,2516,11197
The Complete Guide to Professional Trading with Elliott Wave,business,Data & Analytics,4.6,2823,22850,9/2018,,38,6h 18m,CAD$16.99,,88%,4.7,165671,562326
Allen Bradley PLC Training - RSLogix 5000 Series,it software,IT Certification,4.1,362,2243,8/2020,,24,1h 10m,,EUR13.39,88%,4.2,7513,66526
Financial Risk Manager (FRM) Certification: Level II,business,Finance,3.9,460,3830,2/2020,,206,16h 2m,CAD$16.99,,88%,4.2,4873,75839
The Complete Pandas Bootcamp 2020: Data Science with Python,development,Mobile Apps,4.7,818,4608,1/2020,,72,18h 25m,CAD$16.99,,67%,4.4,1807,14233
React Native - The Practical Guide [2020 Edition],development,Software Engineering,4.5,1777,10598,10/2020,,96,12h 9m,,EUR16.07,87%,4.4,9720,40355
Microsoft Access VBA for Non Programmers - YOU Can Do This!,music,Instruments,4.6,1943,13947,1/2018,,28,38m,CAD$16.99,EUR26.13,88%,4.5,2253,23031
"Watches: How to Design, Manufacture and Build a Brand",business,Finance,4.6,18215,85258,10/2020,,244,12h 51m,CAD$17.99,,91%,4.5,339445,1162093
"Build Creative Website Using HTML5, CSS3, jQuery & Bootstrap",development,Development Tools,4.6,13492,58828,3/2020,,104,10h 12m,,EUR14.73,88%,4.6,14353,61725
Character Art School: Complete Character Drawing Course,marketing,Social Media Marketing,4.3,4930,19402,9/2020,,36,8h 29m,CAD$19.99,,79%,4.3,5502,29703
Complete Beginner's Guide to Anatomy and Figure Drawing,design,Game Design,4.6,503,5583,5/2019,,40,6h 21m,CAD$17.99,,89%,4.4,1204,7809
"Python Programming for Network Engineers: Cisco, Netmiko ++",it software,Other,4.3,2402,12566,10/2020,,291,31h 7m,CAD$16.99,,73%,4.3,2402,12718
SAP S/4HANA Training - in Plain English,it software,IT Certification,4.4,789,3951,6/2020,,130,16h 10m,CAD$16.99,,89%,4.5,46162,130166
Data Science: Deep Learning in Python,development,Web Development,4.4,10920,49158,5/2018,,49,3h 14m,CAD$21.99,EUR38.19,89%,4.3,17578,204552
Acupressure and Meridian Massage Techniques,lifestyle,Pet Care & Training,4.2,967,7659,9/2018,,162,20h 11m,CAD$23.99,,43%,4.4,11708,47220
Docker - SWARM - Hands-on - DevOps,it software,Other,3.6,617,2492,1/2020,,69,12h 39m,CAD$27.99,,89%,3.6,617,4067
Certified Ethical Hacker (CEH) Certification Prep Course,it software,IT Certification,4.5,839,3237,2/2020,,39,4h 25m,CAD$16.99,,89%,4.4,17599,100305
