category,avg_rating,number_ratings,enrollment,last_updated,lectures,duration,cost,discount,inst_rating,inst_review,inst_student
design,4.2,6340.0,54930.0,20.0,162.0,1163.0,23.99,90.0,4.2,13453.0,179306.0
business,4.6,9281.0,48338.0,18.0,37.0,234.0,16.99,56.0,4.5,246008.0,1145810.0
development,4.6,6833.0,21218.0,20.0,53.0,314.0,23.99,91.0,4.6,19993.0,55621.0
development,4.6,72122.0,717921.0,20.0,51.0,570.0,21.99,88.0,4.6,75247.0,751881.0
office_productivity,4.5,2826.0,14269.0,20.0,41.0,428.0,19.99,88.0,4.5,11922.0,53659.0
business,3.3,320.0,2088.0,17.0,72.0,248.0,16.99,90.0,3.3,320.0,4012.0
business,4.4,991.0,3563.0,20.0,91.0,314.0,28.99,77.0,4.4,2193.0,7422.0
development,4.6,11215.0,62426.0,20.0,93.0,608.0,17.99,90.0,4.6,118738.0,498642.0
it_software,4.7,556.0,2263.0,20.0,70.0,298.0,16.99,88.0,4.6,74745.0,517994.0
development,4.3,2060.0,10927.0,20.0,477.0,3119.0,20.99,87.0,4.5,288507.0,988948.0
it_software,4.2,681.0,1932.0,20.0,57.0,303.0,16.99,64.0,4.3,25989.0,242683.0
personal_development,4.3,1939.0,14048.0,13.0,142.0,646.0,20.99,55.0,4.5,25581.0,113480.0
it_software,4.5,1281.0,9244.0,20.0,75.0,366.0,16.99,89.0,4.4,14384.0,63776.0
marketing,4.3,261.0,937.0,19.0,73.0,479.0,17.99,87.0,4.3,698.0,2114.0
personal_development,4.7,1659.0,7400.0,18.0,151.0,203.0,199.99,69.0,4.7,4274.0,16488.0
it_software,4.5,197.0,1444.0,19.0,257.0,1505.0,20.99,40.0,3.9,4868.0,61599.0
business,4.5,1588.0,9192.0,15.0,24.0,164.0,19.99,90.0,4.5,21876.0,104566.0
office_productivity,4.6,3267.0,15260.0,20.0,49.0,526.0,16.99,87.0,4.6,20290.0,104746.0
personal_development,4.7,481.0,7214.0,16.0,40.0,339.0,20.99,89.0,4.5,3182.0,18455.0
personal_development,4.4,3813.0,14570.0,15.0,44.0,252.0,28.99,58.0,4.4,3813.0,14692.0
personal_development,4.2,271.0,1664.0,20.0,107.0,593.0,17.99,76.0,4.3,959.0,18678.0
it_software,4.4,16021.0,89678.0,19.0,74.0,412.0,19.99,69.0,4.4,112580.0,556435.0
business,4.5,1557.0,11830.0,20.0,120.0,540.0,20.99,83.0,4.5,30146.0,105935.0
it_software,4.6,17886.0,74575.0,20.0,19.0,92.0,16.99,49.0,4.6,90008.0,285853.0
personal_development,4.5,2288.0,11967.0,18.0,38.0,280.0,17.99,90.0,4.5,3479.0,14412.0
business,4.5,655.0,2607.0,20.0,21.0,150.0,16.990340000000003,81.0,4.4,924.0,3348.0
personal_development,4.6,2456.0,14398.0,20.0,23.0,379.0,17.99,49.0,4.4,80108.0,271227.0
teaching_academics,4.1,373.0,2812.0,20.0,107.0,557.0,19.99,88.0,4.1,373.0,2812.0
business,4.3,521.0,1532.0,20.0,103.0,548.0,21.99,85.0,4.3,2935.0,37791.0
business,4.3,1989.0,12715.0,16.0,64.0,236.0,16.99,90.0,4.2,4127.0,38588.0
business,4.3,2174.0,8626.0,20.0,205.0,865.0,20.99,89.0,4.3,2516.0,11197.0
business,4.6,2823.0,22850.0,18.0,38.0,378.0,16.99,88.0,4.7,165671.0,562326.0
it_software,4.1,362.0,2243.0,20.0,24.0,70.0,19.991270000000004,88.0,4.2,7513.0,66526.0
business,3.9,460.0,3830.0,20.0,206.0,962.0,16.99,88.0,4.2,4873.0,75839.0
development,4.7,818.0,4608.0,20.0,72.0,1105.0,16.99,67.0,4.4,1807.0,14233.0
development,4.5,1777.0,10598.0,20.0,96.0,729.0,23.992510000000003,87.0,4.4,9720.0,40355.0
personal_development,4.6,1943.0,13947.0,18.0,28.0,38.0,16.99,88.0,4.5,2253.0,23031.0
business,4.6,18215.0,85258.0,20.0,244.0,771.0,17.99,91.0,4.5,339445.0,1162093.0
development,4.6,13492.0,58828.0,20.0,104.0,612.0,21.99189,88.0,4.6,14353.0,61725.0
marketing,4.3,4930.0,19402.0,20.0,36.0,509.0,19.99,79.0,4.3,5502.0,29703.0
design,4.6,503.0,5583.0,19.0,40.0,381.0,17.99,89.0,4.4,1204.0,7809.0
it_software,4.3,2402.0,12566.0,20.0,291.0,1867.0,16.99,73.0,4.3,2402.0,12718.0
it_software,4.4,789.0,3951.0,20.0,130.0,970.0,16.99,89.0,4.5,46162.0,130166.0
development,4.4,10920.0,49158.0,18.0,49.0,194.0,21.99,89.0,4.3,17578.0,204552.0
personal_development,4.2,967.0,7659.0,18.0,162.0,1211.0,23.99,43.0,4.4,11708.0,47220.0
it_software,3.6,617.0,2492.0,20.0,69.0,759.0,27.99,89.0,3.6,617.0,4067.0
it_software,4.5,839.0,3237.0,20.0,39.0,265.0,16.99,89.0,4.4,17599.0,100305.0
it_software,4.5,3729.0,18797.0,20.0,260.0,721.0,16.99,83.0,4.5,96839.0,652565.0
development,4.2,1686.0,11926.0,19.0,147.0,1092.0,20.99,83.0,4.3,2588.0,33321.0
personal_development,4.7,40361.0,135935.0,19.0,54.0,166.0,20.99,55.0,4.7,56917.0,177121.0
development,4.5,8751.0,37114.0,20.0,407.0,2572.0,19.99,88.0,4.5,93980.0,682792.0
it_software,4.3,1483.0,8765.0,20.0,101.0,499.0,19.99,89.0,4.2,6030.0,43552.0
personal_development,4.8,207.0,560.0,19.0,44.0,260.0,16.99,89.0,4.8,207.0,560.0
development,4.6,4489.0,25779.0,20.0,54.0,376.0,16.99,91.0,4.6,100829.0,404488.0
it_software,4.1,239.0,2104.0,17.0,61.0,556.0,16.99,88.0,4.1,47720.0,626911.0
it_software,4.5,11575.0,98756.0,19.0,60.0,433.0,19.99,71.0,4.5,255212.0,681025.0
development,4.6,536.0,5992.0,20.0,179.0,1257.0,17.99,86.0,4.7,13999.0,64522.0
it_software,4.3,1043.0,11513.0,18.0,74.0,222.0,16.99,51.0,4.6,74745.0,517994.0
development,4.5,418.0,2039.0,20.0,196.0,1481.0,21.99189,77.0,4.5,418.0,2039.0
teaching_academics,4.3,1313.0,5003.0,20.0,78.0,367.0,23.99,88.0,4.3,2259.0,6612.0
design,4.7,957.0,5388.0,20.0,189.0,1607.0,34.99,77.0,4.5,2777.0,39883.0
it_software,4.3,9748.0,33324.0,17.0,53.0,689.0,36.99,32.0,4.3,10051.0,34840.0
