make,type,transmission,fuel,fuel_comb,emissions,engine(l),cylinder
mazda,two_seater,automatic_shift,z,7.9,186,2,4
dodge,full_size,automatic,e,14,234,3.6,6
mercedes_benz,full_size,automatic,z,15.1,355,6,12
infiniti,suv,continuously_variable,x,8.7,200,2.5,4
jeep,suv,continuously_variable,x,11.1,255,2.4,4
mercedes_benz,compact,automatic_shift,z,10,233,3,6
volkswagen,compact,automated_manual,z,9.3,216,2,4
bmw,compact,automated_manual,z,11.7,280,3,6
toyota,mid_size,automatic_shift,x,7.6,177,2.5,4
audi,full_size,automatic_shift,z,12.4,290,4,8
mini,compact,automatic,z,9,207,1.6,4
porsche,two_seater,automated_manual,z,14.3,334,4,6
mercedes_benz,compact,automatic_shift,z,8.1,188,2,4
honda,suv,continuously_variable,x,7.8,181,1.5,4
gmc,suv,automatic,z,13.8,325,6.2,8
jaguar,compact,automatic_shift,z,13.1,301,5,8
kia,mid_size,automatic,x,9.9,228,2,4
toyota,suv,continuously_variable,x,8.3,193,3.5,6
chevrolet,suv,automatic,z,13.8,325,6.2,8
bmw,compact,automatic_shift,z,9.8,228,3,6
bmw,mid_size,automatic_shift,z,13.8,322,4.4,8
nissan,mid_size,continuously_variable,x,7,161,1.8,4
audi,compact,automated_manual,z,9.7,223,2,4
nissan,two_seater,manual,z,11.2,270,3.7,6
mercedes_benz,van_wagon,automatic,z,9.5,221,2,4
jeep,suv,automatic,x,10.2,240,2,4
chevrolet,mid_size,automatic_shift,x,7.8,179,1.4,4
jeep,suv,continuously_variable,x,10,234,2,4
mazda,compact,automatic_shift,x,8.1,189,2,4
jaguar,full_size,automatic_shift,z,12.2,285,3,6
bmw,compact,automatic_shift,z,9.9,232,3,6
ford,pickup,automatic_shift,x,12.2,291,3.3,6
porsche,suv,automatic,z,12.6,296,3.6,6
volvo,mid_size,automatic_shift,z,9,215,2,4
cadillac,compact,automatic_shift,x,9.2,216,2.5,4
ford,suv,automatic_shift,x,10.3,240,2,4
chevrolet,suv,automatic,x,12.2,283,3.6,6
cadillac,full_size,automatic_shift,z,12.8,302,3.6,6
chevrolet,suv,automatic,x,12.6,290,3.6,6
chevrolet,compact,manual,x,11.2,261,3.6,6
volkswagen,compact,manual,z,8.3,191,2,4
nissan,pickup,manual,x,11.3,260,2.5,4
bmw,compact,manual,z,10.3,237,3,6
porsche,suv,automated_manual,z,11.7,272,3,6
bmw,compact,manual,z,11.7,273,3,6
chevrolet,pickup,automatic,x,13.1,307,5.3,8
toyota,compact,automatic,x,7.4,173,1.5,4
bmw,full_size,automatic_shift,z,12.5,292,4.4,8
chevrolet,two_seater,manual,z,11.2,258,6.2,8
honda,van_wagon,continuously_variable,x,8.5,200,1.8,4
porsche,suv,automatic,z,13.3,310,4.8,8
bmw,compact,automatic_shift,z,10,233,3,6
lexus,compact,continuously_variable,x,5.6,129,1.8,4
ford,suv,automatic_shift,x,12.7,299,3.5,6
subaru,mid_size,manual,x,8.9,208,2,4
gmc,suv,automatic,x,10.2,239,2.5,4
audi,compact,manual,z,11.7,269,3,6
lexus,compact,automatic_shift,z,9.1,214,2,4
ford,compact,automated_manual,x,7.9,185,2,4
mercedes_benz,compact,automatic,z,10.9,245,3,6
mercedes_benz,full_size,automatic,z,11.2,265,4,8
mercedes_benz,mid_size,automatic_shift,z,11.4,262,4.7,8
bmw,full_size,automatic,z,12.7,292,4.4,8
volvo,suv,automatic_shift,z,9.9,232,2,4
ford,pickup,automatic_shift,x,12.2,295,3.5,6
infiniti,compact,automatic_shift,z,11.5,265,3.7,6
porsche,two_seater,manual,z,10.7,250,3.4,6
cadillac,mid_size,automatic_shift,x,9.9,233,3.6,6
dodge,full_size,automatic,x,11,258,3.6,6
toyota,mid_size,automatic_shift,x,9.6,221,3.5,6
bmw,compact,manual,z,11.4,267,3,6
ford,pickup,automatic_shift,x,12.9,303,3.5,6
toyota,mid_size,automatic_shift,x,9.4,220,3.5,6
mazda,suv,automatic_shift,x,8.6,200,2.5,4
toyota,mid_size,continuously_variable,x,4.9,113,2.5,4
chevrolet,compact,automatic_shift,x,7.2,169,1.4,4
kia,compact,automatic_shift,x,9.4,218,1.6,4
chevrolet,compact,automatic_shift,x,8,188,1.4,4
honda,mid_size,continuously_variable,x,8,187,2.4,4
hyundai,suv,automatic_shift,x,12.5,295,3.3,6
nissan,mid_size,continuously_variable,x,7.9,186,2.5,4
mercedes_benz,compact,automatic_shift,z,13.1,301,5.5,8
ford,compact,automatic_shift,e,10.3,165,2,4
jeep,suv,manual,x,9.7,228,2.4,4
porsche,compact,automated_manual,z,10.8,251,3,6
chevrolet,pickup,automatic,x,14,329,5.3,8
gmc,suv,automatic,x,13.8,317,5.3,8
bmw,mid_size,automatic_shift,z,8.8,207,2,4
chevrolet,suv,automatic,x,13.3,314,5.3,8
audi,mid_size,automated_manual,z,8.7,205,2,4
mercedes_benz,mid_size,automatic_shift,z,10,235,3.5,6
bmw,mid_size,automatic_shift,z,11.2,269,4.4,8
hyundai,full_size,manual,x,8.7,205,2,4
jeep,suv,automatic,d,9.7,267,3,6
cadillac,suv,automatic,e,20,322,6.2,8
dodge,van_wagon,automatic,e,16.7,274,3.6,6
chevrolet,mid_size,automatic_shift,x,8.6,202,2.5,4
gmc,pickup,automatic,d,10.3,277,2.8,4
mazda,mid_size,automatic_shift,x,7.6,181,2,4
dodge,mid_size,automatic,e,15,248,3.6,6
ford,compact,manual,x,9.7,230,2.3,4
mazda,mid_size,manual,x,7.2,166,2,4
toyota,mid_size,continuously_variable,x,7.3,171,1.8,4
cadillac,compact,automatic_shift,x,11,253,3.6,6
dodge,mid_size,automatic,x,8.5,198,2.4,4
buick,mid_size,automatic_shift,x,11.5,264,3.6,6
audi,van_wagon,automated_manual,z,9.3,217,2,4
hyundai,suv,automatic_shift,x,9.6,225,2.4,4
kia,mid_size,manual,x,8.3,195,2,4
volkswagen,suv,automatic_shift,z,12.4,292,3.6,6
volkswagen,compact,automatic_shift,x,7.4,175,1.4,4
