inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
7.010387097,0.419354839,31.0,13040,default,1,1,13,E,1
51.41939252,0.252336449,107.0,330113,default,1,1,27,E,1
25.860775,0.275,40.0,62066,default,1,1,11,E,1
0.205909091,0.818181818,11.0,136,default,1,1,9,E,1
0.122125,0.8125,16.0,118,default,1,1,13,E,1
15.32678947,0.684210526,19.0,17473,default,1,1,13,E,1
0.401189504,0.134110787,343.0,8257,default,2,1,46,E,1
15.91386207,0.077586207,11.6,110761,default,57,10,9,E,2
0.0054375,0.25,2.0,3,default,4,4,2,E,2
17.5334,0.19,200.0,210401,default,1,1,38,E,1
10.36028889,0.288888889,90.0,55946,default,1,1,26,E,1
2.20195,0.6,20.0,2643,default,1,1,12,E,1
9.4989375,0.5625,32.0,18238,default,1,1,18,E,1
40.34403425,0.232876712,146.0,353414,default,1,1,34,E,1
0.584125,0.75,16.0,561,default,1,1,12,E,1
4.781528571,0.235714286,280.0,80330,default,1,1,66,E,1
7.433645833,0.541666667,48.0,21409,default,1,1,26,E,1
9.885666667,0.472222222,36.0,21354,default,1,1,17,E,1
14.54946667,0.866666667,15.0,13095,default,1,1,13,E,1
0.028842105,0.947368421,19.0,33,default,1,1,18,E,1
0.328974359,0.743589744,39.0,770,private_ip,1,1,29,E,1
265.94025,0.5,3.0,95739,default,2,2,3,E,2
18.450928,0.288,125.0,138382,default,1,1,36,E,1
0.02775,1.0,2.0,4,default,2,1,2,E,1
2.112666667,1.0,3.0,381,default,1,1,3,E,1
16.28432813,0.421875,64.0,62532,default,1,1,27,E,1
23.15736364,0.25974026,154.0,213975,default,1,1,40,E,1
1.510888889,0.592592593,27.0,2448,default,1,1,16,E,1
683.7524615,0.076923077,13.0,533327,default,1,1,1,E,1
0.001368081,0.075645756,41.69230769,45,default,68,13,41,E,2
10.37992905,0.283783784,148.0,92174,default,2,1,42,E,1
1.736563725,0.225490196,102.0,10628,default,1,1,23,E,1
4.495993464,0.163398693,153.0,41274,default,1,1,25,E,1
1.811363636,0.727272727,11.0,1196,datacenter,1,1,8,E,1
92.42173333,0.4,15.0,83180,default,1,1,6,E,1
0.010333333,1.0,3.0,2,default,3,1,3,E,1
0.157888889,0.777777778,9.0,86,default,1,1,7,E,1
1.73375,1.0,4.0,417,default,1,1,4,E,1
1.3914,0.6,5.0,418,default,2,1,3,E,1
0.99075,0.75,12.0,714,default,1,1,9,E,1
46.89327711,0.325301205,83.0,233529,default,1,1,27,E,1
0.105157895,0.789473684,19.0,120,default,1,1,15,E,1
0.167166667,0.210884354,294.0,2949,default,3,1,62,E,1
0.802732143,0.383928571,112.0,5395,default,3,1,43,E,1
0.014004739,0.260663507,211.0,178,default,2,1,55,E,1
3.740526316,0.631578947,19.0,4265,default,1,1,12,E,1
0.008666667,1.0,3.0,2,default,3,1,3,E,1
3.052588235,0.823529412,17.0,3114,default,1,1,14,E,1
1.700945233,0.052738337,493.0,50314,default,1,1,26,E,1
311.6626667,1.0,3.0,56100,default,1,1,3,E,1
8.258344828,0.310344828,29.0,14370,default,1,1,9,E,1
0.0548,1.0,5.0,17,default,1,1,5,E,1
0.263666667,0.777777778,9.0,143,default,1,1,7,E,1
13.0373,0.184615385,130.0,101691,private_ip,1,1,24,E,1
33.98360577,0.173076923,5.777777778,106029,default,24,9,9,E,2
5.7179,0.4,10.0,3431,default,1,1,4,E,1
0.001933333,0.8,15.0,2,default,15,1,12,E,1
5.540164948,0.237113402,194.0,64488,default,1,1,46,E,1
2.588425,0.75,20.0,3107,default,1,1,15,E,1
2.186860526,0.221052632,380.0,49861,default,2,1,84,E,1
1.548428571,0.857142857,7.0,651,default,1,1,6,E,1
18.27367647,0.470588235,34.0,37279,default,1,1,16,E,1
0.04,1.0,3.0,8,default,1,1,3,E,1
43.18502857,0.114285714,35.0,90689,default,1,1,4,E,1
0.94484,0.52,25.0,1418,default,1,1,13,E,1
