iter	Passed	Remaining
0	6	6163
1	10	5321
2	15	5288
3	22	5586
4	27	5393
5	32	5463
6	37	5316
7	42	5231
8	46	5163
9	51	5141
10	57	5177
11	67	5528
12	76	5810
13	81	5758
14	89	5846
15	93	5769
16	99	5765
17	103	5673
18	110	5702
19	115	5637
20	121	5662
21	126	5644
22	132	5610
23	136	5562
24	141	5518
25	146	5482
26	151	5458
27	156	5435
28	162	5428
29	167	5421
30	172	5399
31	177	5380
32	182	5355
33	187	5333
34	192	5298
35	196	5268
36	202	5264
37	206	5234
38	211	5207
39	215	5180
40	220	5153
41	224	5119
42	229	5109
43	234	5087
44	238	5064
45	242	5038
46	247	5010
47	251	4984
48	255	4961
49	259	4935
50	264	4918
51	268	4900
52	273	4886
53	278	4886
54	284	4881
55	288	4869
56	293	4861
57	299	4858
58	303	4839
59	306	4805
60	311	4801
61	317	4798
62	322	4801
63	328	4802
64	333	4800
65	338	4786
66	343	4779
67	347	4761
68	350	4730
69	354	4716
70	359	4699
71	363	4685
72	367	4669
73	371	4653
74	376	4641
75	380	4631
76	385	4619
77	390	4611
78	394	4602
79	399	4590
80	403	4575
81	407	4565
82	412	4558
83	417	4548
84	421	4536
85	425	4523
86	429	4511
87	434	4501
88	437	4483
89	442	4478
90	447	4474
91	453	4471
92	458	4469
93	462	4458
94	467	4453
95	472	4444
96	476	4434
97	480	4425
98	485	4418
99	490	4410
100	494	4402
101	497	4383
102	502	4375
103	507	4369
104	511	4363
105	516	4355
106	520	4347
107	525	4340
108	529	4332
109	534	4327
110	539	4321
111	544	4313
112	548	4309
113	553	4301
114	557	4290
115	562	4282
116	566	4275
117	571	4273
118	576	4270
119	582	4270
120	587	4269
121	592	4264
122	597	4259
123	602	4254
124	607	4252
125	612	4250
126	617	4246
127	622	4241
128	627	4234
129	632	4230
130	636	4222
131	640	4213
132	645	4208
133	650	4205
134	657	4215
135	663	4212
136	668	4214
137	674	4211
138	679	4211
139	685	4209
140	690	4207
141	695	4205
142	701	4201
143	707	4205
144	713	4204
145	718	4202
146	723	4198
147	728	4192
148	732	4185
149	737	4179
150	742	4175
151	747	4170
152	753	4169
153	760	4175
154	764	4169
155	770	4166
156	774	4160
157	780	4159
158	785	4152
159	789	4144
160	793	4136
161	799	4136
162	804	4132
163	809	4125
164	814	4121
165	819	4117
166	824	4114
167	829	4108
168	835	4108
169	841	4108
170	846	4104
171	851	4100
172	856	4092
173	860	4085
174	864	4077
175	869	4071
176	874	4066
177	879	4059
178	883	4052
179	888	4046
180	893	4042
181	897	4033
182	901	4026
183	906	4019
184	911	4014
185	915	4008
186	920	4001
187	925	3995
188	929	3989
189	934	3984
190	939	3977
191	943	3971
192	948	3967
193	953	3960
194	958	3955
195	962	3950
196	967	3944
197	972	3937
198	976	3929
199	981	3924
200	985	3918
201	990	3912
202	994	3905
203	999	3899
204	1004	3894
205	1008	3888
206	1013	3883
207	1018	3879
208	1023	3872
209	1027	3866
210	1032	3861
211	1038	3858
212	1045	3862
213	1051	3863
214	1057	3860
215	1064	3864
216	1070	3863
217	1077	3864
218	1082	3859
219	1087	3854
220	1091	3848
221	1096	3843
222	1101	3838
223	1105	3830
224	1109	3823
225	1114	3817
226	1119	3812
227	1124	3807
228	1128	3800
229	1133	3794
230	1137	3788
231	1142	3782
232	1146	3775
233	1151	3768
234	1155	3761
235	1159	3753
236	1163	3747
237	1168	3742
238	1174	3739
239	1179	3734
240	1184	3730
241	1189	3725
242	1194	3720
243	1199	3717
244	1205	3713
245	1209	3706
246	1213	3699
247	1217	3693
248	1222	3686
249	1226	3679
250	1230	3673
251	1235	3666
252	1239	3660
253	1244	3655
254	1248	3649
255	1253	3642
256	1258	3638
257	1264	3635
258	1269	3632
259	1275	3629
260	1280	3625
261	1286	3623
262	1291	3619
263	1297	3617
264	1303	3614
265	1308	3610
266	1313	3606
267	1319	3604
268	1325	3602
269	1331	3600
270	1336	3595
271	1342	3592
272	1347	3588
273	1352	3583
274	1357	3579
275	1362	3575
276	1367	3570
277	1373	3567
278	1379	3565
279	1385	3561
280	1389	3556
281	1394	3550
282	1399	3546
283	1404	3540
284	1409	3536
285	1415	3533
286	1421	3531
287	1426	3526
288	1431	3522
289	1436	3517
290	1441	3512
291	1446	3507
292	1452	3503
293	1457	3499
294	1462	3494
295	1466	3488
296	1472	3485
297	1477	3480
298	1482	3475
299	1487	3470
300	1493	3468
301	1498	3462
302	1503	3457
303	1508	3454
304	1513	3448
305	1518	3442
306	1523	3438
307	1528	3433
308	1533	3428
309	1538	3423
310	1543	3419
311	1548	3414
312	1554	3411
313	1560	3408
314	1566	3406
315	1571	3401
316	1576	3396
317	1580	3390
318	1585	3384
319	1590	3379
320	1595	3375
321	1600	3370
322	1605	3364
323	1610	3359
324	1616	3357
325	1622	3353
326	1627	3349
327	1633	3346
328	1639	3343
329	1645	3340
330	1650	3335
331	1655	3331
332	1660	3326
333	1665	3321
334	1670	3315
335	1675	3310
336	1680	3305
337	1685	3300
338	1690	3296
339	1695	3290
340	1700	3285
341	1705	3280
342	1710	3276
343	1715	3270
344	1720	3266
345	1725	3261
346	1730	3256
347	1735	3251
348	1741	3247
349	1747	3244
350	1752	3240
351	1758	3237
352	1764	3233
353	1769	3229
354	1775	3225
355	1781	3222
356	1786	3217
357	1791	3213
358	1797	3209
359	1803	3205
360	1808	3200
361	1813	3196
362	1819	3192
363	1824	3187
364	1829	3182
365	1834	3177
366	1838	3171
367	1843	3166
368	1849	3163
369	1855	3159
370	1861	3155
371	1866	3151
372	1871	3146
373	1876	3141
374	1882	3136
375	1886	3131
376	1891	3125
377	1896	3120
378	1900	3114
379	1904	3107
380	1909	3102
381	1914	3096
382	1919	3091
383	1923	3085
384	1928	3080
385	1932	3074
386	1937	3069
387	1941	3062
388	1946	3057
389	1950	3051
390	1955	3046
391	1960	3040
392	1964	3034
393	1969	3028
394	1973	3022
395	1978	3017
396	1983	3012
397	1988	3007
398	1992	3001
399	1997	2995
400	2001	2990
401	2006	2984
402	2011	2979
403	2015	2973
404	2020	2968
405	2024	2962
406	2029	2957
407	2034	2951
408	2038	2945
409	2043	2940
410	2047	2934
411	2052	2929
412	2057	2924
413	2062	2919
414	2067	2914
415	2071	2908
416	2076	2902
417	2080	2897
418	2085	2891
419	2089	2885
420	2093	2879
421	2098	2874
422	2103	2868
423	2107	2863
424	2112	2857
425	2116	2852
426	2121	2846
427	2125	2841
428	2130	2835
429	2134	2829
430	2139	2824
431	2143	2818
432	2148	2813
433	2152	2807
434	2157	2802
435	2162	2796
436	2166	2791
437	2171	2785
438	2175	2780
439	2180	2775
440	2185	2769
441	2189	2764
442	2194	2759
443	2198	2753
444	2203	2748
445	2207	2742
446	2212	2737
447	2217	2731
448	2221	2726
449	2225	2720
450	2230	2715
451	2235	2710
452	2240	2705
453	2245	2700
454	2249	2694
455	2254	2689
456	2258	2683
457	2263	2678
458	2267	2672
459	2272	2667
460	2277	2662
461	2282	2657
462	2287	2652
463	2292	2647
464	2297	2643
465	2302	2638
466	2307	2633
467	2311	2627
468	2316	2623
469	2321	2617
470	2326	2612
471	2331	2607
472	2335	2602
473	2340	2596
474	2344	2591
475	2349	2586
476	2354	2581
477	2359	2576
478	2364	2571
479	2368	2566
480	2373	2561
481	2379	2556
482	2384	2552
483	2389	2547
484	2394	2542
485	2399	2537
486	2403	2531
487	2407	2526
488	2413	2521
489	2418	2517
490	2423	2512
491	2428	2507
492	2432	2501
493	2437	2496
494	2442	2492
495	2446	2486
496	2451	2481
497	2457	2476
498	2462	2471
499	2467	2467
500	2472	2462
501	2477	2457
502	2482	2452
503	2487	2447
504	2492	2442
505	2497	2438
506	2502	2433
507	2506	2427
508	2511	2422
509	2516	2417
510	2520	2412
511	2525	2406
512	2529	2401
513	2534	2396
514	2539	2391
515	2543	2385
516	2548	2381
517	2554	2376
518	2558	2371
519	2563	2366
520	2569	2362
521	2575	2358
522	2580	2353
523	2586	2349
524	2591	2344
525	2596	2339
526	2601	2335
527	2606	2330
528	2611	2325
529	2617	2320
530	2622	2316
531	2627	2311
532	2632	2306
533	2636	2300
534	2641	2295
535	2645	2290
536	2649	2284
537	2654	2279
538	2658	2274
539	2663	2268
540	2667	2263
