iter	RMSE
0	50.39047507
1	46.16602346
2	42.15092626
3	38.57853126
4	35.24102127
5	32.36331944
6	29.67834738
7	27.30423506
8	25.14832617
9	23.19044388
10	21.49443565
11	19.94973065
12	18.44521662
13	17.06623649
14	15.84833552
15	14.74470794
16	13.7689592
17	12.85855772
18	12.0661174
19	11.44211838
20	10.82521023
21	10.23580066
22	9.720523793
23	9.250012987
24	8.857870162
25	8.498519118
26	8.175887153
27	7.892965736
28	7.647843082
29	7.438949366
30	7.244107296
31	7.075366505
32	6.941450292
33	6.807634663
34	6.690385056
35	6.594655528
36	6.511338325
37	6.435657758
38	6.374829691
39	6.326353593
40	6.273283749
41	6.225506081
42	6.189630159
43	6.155943019
44	6.125963191
45	6.100171664
46	6.081296902
47	6.061389908
48	6.045198092
49	6.029007483
50	6.016200351
51	6.003158932
52	5.99293467
53	5.984047034
54	5.974413213
55	5.962977527
56	5.957614325
57	5.949759783
58	5.945948618
59	5.941293689
60	5.935107585
61	5.929936303
62	5.925187939
63	5.922846347
64	5.919918103
65	5.917202957
66	5.912746659
67	5.906256529
68	5.90347581
69	5.897373377
70	5.894721736
71	5.892074109
72	5.889690672
73	5.884274736
74	5.881617523
75	5.87593282
76	5.8737586
77	5.87218302
78	5.870093465
79	5.869320714
80	5.867284624
81	5.862753235
82	5.85699508
83	5.851860027
84	5.850691322
85	5.844752304
86	5.841462302
87	5.834823712
88	5.829753247
89	5.827192392
90	5.826136059
91	5.819957668
92	5.816249788
93	5.814364019
94	5.813062419
95	5.808072149
96	5.800543389
97	5.796816019
98	5.795118875
99	5.793787889
100	5.790463046
101	5.787692141
102	5.783459327
103	5.7772126
104	5.775327106
105	5.773780618
106	5.769820227
107	5.767253848
108	5.765131654
109	5.759962381
110	5.75613866
111	5.752496791
112	5.75151553
113	5.750149032
114	5.749210714
115	5.744470099
116	5.742250581
117	5.740315533
118	5.737244665
119	5.733012345
120	5.732217419
121	5.73169014
122	5.73123572
123	5.730443399
124	5.729411949
125	5.725575925
126	5.722289313
127	5.719250833
128	5.716240018
129	5.714317109
130	5.712627097
131	5.712225785
132	5.708947786
133	5.708033348
134	5.705284254
135	5.701799539
136	5.699386193
137	5.696600718
138	5.694263512
139	5.692430857
140	5.689494958
141	5.687619046
142	5.682742427
143	5.680362762
144	5.679109893
145	5.67810141
146	5.67734036
147	5.676115049
148	5.675110138
149	5.672543325
150	5.672048377
151	5.671372633
152	5.670692807
153	5.668727375
154	5.666998731
155	5.666670509
156	5.665258593
157	5.663020121
158	5.661065966
159	5.660260148
160	5.659022034
161	5.658323748
162	5.657555682
163	5.656832253
164	5.655229892
165	5.654645646
166	5.652633602
167	5.651316242
168	5.647066667
169	5.645430885
170	5.643921954
171	5.642143004
172	5.640788811
173	5.637227396
174	5.636710817
175	5.635197001
176	5.633655586
177	5.630163921
178	5.628225724
179	5.626467478
180	5.625952317
181	5.625581052
182	5.624824121
183	5.623503054
184	5.622024149
185	5.621103943
186	5.619924426
187	5.619323281
188	5.618227805
189	5.616941485
190	5.616404108
191	5.614629823
192	5.613571302
193	5.612216685
194	5.61127834
195	5.610594854
196	5.609230537
197	5.607697632
198	5.606496555
199	5.603522685
200	5.602304895
201	5.601313864
202	5.60033754
203	5.599558766
204	5.598951757
205	5.598856464
206	5.598121359
207	5.597267158
208	5.596490684
209	5.595587602
210	5.594812782
211	5.594224966
212	5.594129336
213	5.591749382
214	5.591669261
215	5.590768768
216	5.589822483
217	5.588966776
218	5.588244635
219	5.587609975
220	5.586508683
221	5.586428383
222	5.585839364
223	5.584996161
224	5.584258198
225	5.583459527
226	5.582963524
227	5.582258985
228	5.581496121
229	5.580954544
230	5.579115247
231	5.578648199
232	5.576175738
233	5.575620477
234	5.574601966
235	5.573692492
236	5.573507098
237	5.572918057
238	5.572715918
239	5.571959257
240	5.569718469
241	5.569512733
242	5.569046568
243	5.568543052
244	5.56816177
245	5.56772959
246	5.56707569
247	5.566566953
248	5.56457826
249	5.564511527
250	5.564292194
251	5.563989474
252	5.563837352
253	5.563440787
254	5.562939672
255	5.561131753
256	5.560485584
257	5.560126498
258	5.559918551
259	5.559781944
260	5.559546259
261	5.559389749
262	5.558822885
263	5.558660459
264	5.558299634
265	5.558260795
266	5.558218462
267	5.558119541
268	5.557685402
269	5.557523401
270	5.556906926
271	5.556519929
272	5.555795593
273	5.554141486
274	5.553747804
275	5.553532056
276	5.552957745
277	5.552512785
278	5.552252722
279	5.551922383
280	5.551552436
281	5.551010546
282	5.550549131
283	5.550249193
284	5.549347549
285	5.547928872
286	5.547762337
287	5.547561366
288	5.547133701
289	5.547095211
290	5.546476807
291	5.546122621
292	5.545464504
293	5.545164491
294	5.544912832
295	5.544807001
296	5.544209898
297	5.544096806
298	5.543704671
299	5.543595361
300	5.54243806
301	5.542121008
302	5.541586811
303	5.541149695
304	5.541113433
305	5.541006368
306	5.540926054
307	5.540804296
308	5.54010181
309	5.538729228
310	5.538282983
311	5.538083508
312	5.537924036
313	5.537577151
314	5.537489142
315	5.537228678
316	5.53710638
317	5.536665155
318	5.535523407
319	5.535308914
320	5.535181169
321	5.534953887
322	5.53485563
323	5.534753725
324	5.534428672
325	5.533169711
326	5.532879248
327	5.532563024
328	5.531299536
329	5.531129084
330	5.530841503
331	5.530594356
332	5.530353416
333	5.529787078
334	5.529356514
335	5.529087793
336	5.528843297
337	5.528535047
338	5.528451229
339	5.528367096
340	5.528212188
341	5.527758636
342	5.527647942
343	5.527238283
344	5.52721694
345	5.527072869
346	5.527015991
347	5.526859512
348	5.526808503
349	5.526731717
350	5.526600941
351	5.526483224
352	5.526228864
353	5.526182567
354	5.525984229
355	5.5256419
356	5.525496491
357	5.525267355
358	5.524740444
359	5.524646626
360	5.524369578
361	5.524282113
362	5.524259483
363	5.524132708
364	5.523899736
365	5.52369986
366	5.523638763
367	5.52347546
368	5.523413762
369	5.523276122
370	5.523084148
371	5.522837936
372	5.522814882
373	5.522637891
374	5.522429359
375	5.522273898
376	5.522163046
377	5.521911287
378	5.521053277
379	5.520870471
380	5.520758275
381	5.520576726
382	5.520462092
383	5.520375693
384	5.519352527
385	5.519009156
386	5.518733963
387	5.518698491
388	5.518648538
389	5.518532816
390	5.518511254
391	5.518461411
392	5.5180188
393	5.517834392
394	5.517400883
395	5.517295931
396	5.517169378
397	5.517149127
398	5.517120625
399	5.516995936
400	5.516853842
401	5.516426573
402	5.516416938
403	5.516251922
404	5.515833375
405	5.515817249
406	5.515735625
407	5.51553381
408	5.515383448
409	5.515139246
410	5.515106779
411	5.514992027
412	5.514199188
413	5.513895366
414	5.513874803
415	5.513087197
416	5.512881251
417	5.512043198
418	5.511951451
419	5.511900351
420	5.511813864
421	5.511607979
422	5.511602467
423	5.511561189
424	5.511477382
425	5.511381356
426	5.511319382
427	5.511288308
428	5.511278483
429	5.511169581
430	5.510850465
431	5.510845905
432	5.510709255
433	5.510084507
434	5.509969628
435	5.509875729
436	5.509867822
437	5.509857435
438	5.509810958
439	5.509764282
440	5.509737903
441	5.509719571
442	5.509591116
443	5.508845307
444	5.508542379
445	5.508540973
446	5.50844126
447	5.508257466
448	5.508055109
449	5.50799133
450	5.507954624
451	5.507902288
452	5.507275134
453	5.507098757
454	5.506829161
455	5.50676183
456	5.506690564
457	5.506649169
458	5.506020345
459	5.505980279
460	5.505232703
461	5.505226995
462	5.505137153
463	5.505088353
464	5.505026587
465	5.504954489
466	5.504882103
467	5.504759969
468	5.504747073
469	5.504700786
470	5.504612135
471	5.504548456
472	5.504458387
473	5.504229229
474	5.50406699
475	5.503997983
476	5.503996064
477	5.50391643
478	5.503883888
479	5.503380778
480	5.503142625
481	5.503071066
482	5.502340097
483	5.502322809
484	5.502285983
485	5.50225751
486	5.501598477
487	5.501490374
488	5.501461604
489	5.50136395
490	5.501297321
491	5.501154907
492	5.501061104
493	5.501036626
494	5.500988749
495	5.500986635
496	5.500426593
497	5.500405978
498	5.500365616
499	5.500328125
500	5.500183842
501	5.499990823
502	5.499708506
503	5.499315239
504	5.498855663
505	5.498853272
506	5.498633091
507	5.498550879
508	5.498533359
509	5.498506262
510	5.498420555
511	5.49833784
512	5.498277588
513	5.498112147
514	5.498039942
515	5.497884396
516	5.497692138
517	5.497599823
518	5.497470749
519	5.497070417
520	5.496966584
521	5.496827728
522	5.496708714
523	5.49670731
524	5.496236303
525	5.496146693
526	5.496118499
527	5.496060446
528	5.495955017
529	5.495937963
530	5.495781053
531	5.495744772
532	5.495742371
533	5.495739939
534	5.495570797
535	5.495551316
536	5.495467178
537	5.495433191
538	5.495251669
539	5.495182889
540	5.495137503
541	5.495116204
542	5.495079655
543	5.495022972
544	5.494975544
545	5.49487334
546	5.494697201
547	5.494615701
548	5.494507621
549	5.494486199
550	5.494312038
551	5.49416176
552	5.494047277
