iter	Passed	Remaining
0	1	1134
1	2	1037
2	2	951
3	3	948
4	4	940
5	5	916
6	6	897
7	7	930
8	8	935
9	9	926
10	10	923
11	11	913
12	11	899
13	12	888
14	13	885
15	14	878
16	15	869
17	15	863
18	16	859
19	17	858
20	18	858
21	19	863
22	20	866
23	21	866
24	22	865
25	23	865
26	23	862
27	24	860
28	25	857
29	26	856
30	27	854
31	28	853
32	29	853
33	30	855
34	30	849
35	31	843
36	32	839
37	32	834
38	33	828
39	34	823
40	35	823
41	36	821
42	36	819
43	37	816
44	38	813
45	39	814
46	40	813
47	40	809
48	41	807
49	42	802
50	42	798
51	43	796
52	44	792
53	44	788
54	45	784
55	46	781
56	46	775
57	47	773
58	48	768
59	48	764
60	49	763
61	50	762
62	51	758
63	51	754
64	52	752
65	53	750
66	53	747
67	54	746
68	55	746
69	56	746
70	56	745
71	57	741
72	58	740
73	59	739
74	59	738
75	60	739
76	61	738
77	62	735
78	63	735
79	63	731
80	64	730
81	65	730
82	66	729
83	67	733
84	68	738
85	69	742
86	70	744
87	72	749
88	73	755
89	75	759
90	76	762
91	77	766
92	78	769
93	79	769
94	80	768
95	81	768
96	82	770
97	83	769
98	84	769
99	86	774
100	87	780
101	88	782
102	90	784
103	91	787
104	92	789
105	94	793
106	95	793
107	96	795
108	97	798
109	98	798
110	99	800
111	101	804
112	102	807
113	104	810
114	105	813
115	107	816
116	108	818
117	109	819
118	111	822
119	112	823
120	113	823
121	114	823
122	115	824
123	116	824
124	118	826
125	119	826
126	120	828
127	121	829
128	122	826
129	123	829
130	125	829
131	126	828
132	127	829
133	128	828
134	129	829
135	130	828
136	131	828
137	132	827
138	133	829
139	134	829
140	136	829
141	137	827
142	138	828
143	139	828
144	140	829
145	141	830
146	143	830
147	144	831
148	145	833
149	147	835
150	148	836
151	150	836
152	150	835
153	152	835
154	153	835
155	154	833
156	155	833
157	156	833
158	157	832
159	158	831
160	159	831
161	160	830
162	161	829
163	162	829
164	163	829
165	165	829
166	166	828
167	167	828
168	168	828
169	169	829
170	170	828
171	172	828
172	173	827
173	174	827
174	175	826
175	176	824
176	177	824
177	178	822
178	178	820
179	179	819
180	180	817
181	181	815
182	182	813
183	183	812
184	184	810
185	184	808
186	185	807
187	186	804
188	187	803
189	187	801
190	188	800
191	189	798
192	190	797
193	191	796
194	192	795
195	193	794
196	194	793
197	195	792
198	196	791
199	197	790
200	198	789
201	199	787
202	200	786
203	201	784
204	201	783
205	202	780
206	203	778
207	204	776
208	205	776
209	205	774
210	206	773
211	207	771
212	208	770
213	209	769
214	210	768
215	211	767
216	212	766
217	213	764
218	213	763
219	214	761
220	215	760
221	216	758
222	217	756
223	218	755
224	218	753
225	219	752
226	220	751
227	221	750
228	222	749
229	223	747
230	224	746
231	225	745
232	225	743
233	226	742
234	227	740
235	228	740
236	229	739
237	230	737
238	231	736
239	231	734
240	232	733
241	233	731
242	234	730
243	235	729
244	236	727
245	237	727
246	238	726
247	239	725
248	240	725
249	241	724
250	242	723
251	243	721
252	244	720
253	245	719
254	245	718
255	246	716
256	247	716
257	248	715
258	249	713
259	250	712
260	251	711
261	252	711
262	253	711
263	254	710
264	256	710
265	257	710
266	258	709
267	259	708
268	260	707
269	261	706
270	262	704
271	262	703
272	263	702
273	264	701
274	265	700
275	266	698
276	267	697
277	268	696
278	269	695
279	270	694
280	270	693
281	272	693
282	273	692
283	274	691
284	275	690
285	275	688
286	276	686
287	277	685
288	277	683
289	278	682
290	279	680
291	280	679
292	281	678
293	281	676
294	282	675
295	283	673
296	284	672
297	284	671
298	285	669
299	286	668
300	287	666
301	288	665
302	289	665
303	290	664
304	290	662
305	291	661
306	292	660
307	293	658
308	293	657
309	294	656
310	295	654
311	296	653
312	297	652
313	297	650
314	298	649
315	299	648
316	300	646
317	300	645
318	301	644
319	302	642
320	303	641
321	303	639
322	304	638
323	305	636
324	305	635
325	306	634
326	307	633
327	308	632
328	309	630
329	310	629
330	310	628
331	311	626
332	312	625
333	313	624
334	313	623
335	314	621
336	315	620
337	316	619
338	316	617
339	317	616
340	318	615
341	319	613
342	319	612
343	320	611
344	321	610
345	322	609
346	323	608
347	323	606
348	324	605
349	325	604
350	326	603
351	327	602
352	328	601
353	328	599
354	329	598
355	330	597
356	331	596
357	331	595
358	332	594
359	333	592
360	334	591
361	334	590
362	335	589
363	336	587
364	337	586
365	337	585
366	338	584
367	339	582
368	340	581
369	340	580
370	341	579
371	342	577
372	343	576
373	343	575
374	344	574
375	345	573
376	346	571
377	346	570
378	347	569
379	348	568
380	349	567
381	350	566
382	350	565
383	351	563
384	352	562
385	352	561
386	353	560
387	354	558
388	354	557
389	355	556
390	356	555
391	357	553
392	357	552
393	358	551
394	359	550
395	359	549
396	360	547
397	361	546
398	362	545
399	362	544
400	363	543
401	364	541
402	364	540
403	365	539
404	366	538
405	367	537
406	367	536
407	368	535
408	369	533
409	370	532
410	370	531
411	371	530
412	372	529
413	373	528
414	373	527
415	374	526
416	375	524
417	376	523
418	376	522
419	377	521
420	378	520
421	379	519
422	380	518
423	380	517
424	381	516
425	382	515
426	383	514
427	383	513
428	384	512
429	385	511
430	386	510
431	387	508
432	387	508
433	388	507
434	389	506
435	390	505
436	391	504
437	392	502
438	392	501
439	393	501
440	394	499
441	395	498
442	396	498
443	396	497
444	397	496
445	398	495
446	399	494
447	400	493
448	401	492
449	402	491
450	402	490
451	403	489
452	404	488
453	405	487
454	406	486
455	407	485
456	407	484
457	408	483
458	409	482
459	410	481
460	410	480
461	411	479
462	412	478
463	413	477
464	413	476
465	414	475
466	415	474
467	416	473
468	417	472
469	418	471
