METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54045;"{""coordinates"": [-123.14273600830685, 49.26357646765526], ""type"": ""Point""}";Fairview;301634;49.26357646765526, -123.14273600830685
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54039;"{""coordinates"": [-123.14703537912433, 49.270626013727025], ""type"": ""Point""}";Kitsilano;B11828;49.270626013727025, -123.14703537912433
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52721;"{""coordinates"": [-123.14720900627181, 49.27062867111242], ""type"": ""Point""}";Kitsilano;B11834;49.27062867111242, -123.14720900627181
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52749;"{""coordinates"": [-123.14737974666724, 49.27063133191907], ""type"": ""Point""}";Kitsilano;B11836;49.27063133191907, -123.14737974666724
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52756;"{""coordinates"": [-123.1554205290986, 49.236104158233125], ""type"": ""Point""}";Arbutus Ridge;935508;49.236104158233125, -123.1554205290986
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54757;"{""coordinates"": [-123.1554283213051, 49.2358731856651], ""type"": ""Point""}";Arbutus Ridge;935518;49.2358731856651, -123.1554283213051
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50749;"{""coordinates"": [-123.15564369445495, 49.23536344058279], ""type"": ""Point""}";Arbutus Ridge;935601;49.23536344058279, -123.15564369445495
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53537;"{""coordinates"": [-123.1556464934866, 49.23525310104019], ""type"": ""Point""}";Arbutus Ridge;935605;49.23525310104019, -123.1556464934866
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54787;"{""coordinates"": [-123.1556464934866, 49.23525310104019], ""type"": ""Point""}";Arbutus Ridge;935607;49.23525310104019, -123.1556464934866
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54731;"{""coordinates"": [-123.15568469597495, 49.23417804477441], ""type"": ""Point""}";Kerrisdale;935711;49.23417804477441, -123.15568469597495
