iter	Passed	Remaining
0	1	1060
1	1	979
2	2	973
3	3	981
4	4	978
5	5	973
6	6	971
7	7	968
8	8	964
9	9	965
10	10	959
11	11	957
12	12	955
13	13	952
14	14	950
15	15	948
16	16	946
17	17	944
18	18	946
19	19	946
20	20	948
21	21	950
22	22	953
23	23	952
24	24	950
25	25	949
26	26	945
27	27	945
28	28	947
29	29	944
30	30	943
31	31	941
32	32	938
33	32	937
34	33	936
35	34	933
36	35	930
37	36	926
38	37	924
39	38	923
40	39	922
41	40	921
42	41	920
43	42	918
44	43	916
45	44	915
46	45	914
47	46	912
48	46	910
49	47	908
50	48	908
51	49	906
52	50	904
53	51	903
54	52	903
55	53	899
56	54	897
57	55	895
58	55	892
59	56	892
60	57	890
61	58	889
62	59	888
63	60	887
64	61	886
65	62	884
66	63	882
67	64	881
68	65	880
69	66	880
70	67	879
71	68	879
72	69	878
73	70	877
74	71	876
75	72	875
76	73	875
77	74	875
78	74	874
79	75	873
80	76	871
81	77	870
82	78	870
83	79	869
84	80	867
85	81	866
86	82	865
87	83	863
88	84	863
89	85	862
90	86	860
91	87	860
92	88	860
93	89	859
94	90	858
95	91	858
96	92	859
97	93	859
98	94	859
99	95	858
100	96	857
101	97	856
102	98	855
103	99	854
104	100	854
105	101	853
106	102	852
107	103	850
108	104	850
109	105	849
110	106	849
111	107	848
112	108	848
113	109	847
114	110	846
115	110	845
116	111	844
117	112	843
118	113	842
119	114	841
120	115	841
121	116	839
122	117	839
123	118	837
124	119	836
125	120	834
126	121	834
127	122	833
128	123	831
129	124	830
130	125	830
131	126	829
132	126	827
133	127	827
134	128	826
135	130	826
136	131	825
137	132	825
138	133	824
139	134	824
140	135	823
141	136	821
142	136	820
143	137	820
144	138	818
145	139	817
146	140	816
147	141	815
148	142	815
149	143	815
150	145	815
151	146	814
152	147	815
153	148	813
154	149	814
155	150	814
156	151	813
157	152	812
158	153	811
159	154	810
160	155	809
161	156	808
162	157	807
163	158	806
164	159	805
165	160	804
166	161	803
167	161	801
168	162	801
169	163	800
170	164	799
171	165	798
172	166	797
173	167	797
174	169	797
175	170	797
176	171	797
177	172	796
178	173	796
179	174	796
180	175	795
181	176	794
182	177	794
183	179	793
184	179	792
185	181	792
186	181	791
187	182	790
188	183	789
189	184	787
190	185	786
191	186	785
192	187	784
193	188	783
194	189	782
195	190	780
196	191	779
197	192	778
198	193	777
199	194	776
200	194	774
201	195	772
202	196	770
203	197	769
204	198	767
205	198	766
206	199	765
207	200	763
208	201	762
209	202	761
210	203	759
211	203	757
212	204	756
213	205	754
214	206	753
215	207	752
216	208	750
217	208	749
218	210	751
219	211	750
220	212	749
221	213	747
222	214	746
223	215	745
224	215	743
225	216	742
226	217	741
227	218	740
228	219	739
229	220	737
230	221	736
231	222	734
232	222	733
233	223	732
234	224	731
235	225	729
236	226	727
237	227	726
238	227	725
239	228	723
240	229	722
241	230	720
242	231	719
243	231	718
244	232	717
245	233	716
246	234	715
247	235	713
248	236	712
249	237	711
250	238	710
251	239	709
252	240	708
253	240	707
254	241	706
255	242	705
256	243	703
257	244	702
258	245	701
259	246	700
260	246	699
261	247	698
262	248	697
263	249	695
264	250	694
265	251	693
266	252	692
267	252	690
268	253	689
269	254	688
270	255	687
271	256	686
272	257	684
273	258	683
274	258	682
275	259	681
276	260	680
277	261	679
278	262	678
279	263	677
280	264	676
281	265	675
282	265	673
283	266	672
284	267	671
285	268	670
286	269	669
287	270	668
288	271	667
289	272	666
290	272	664
291	273	663
292	274	662
293	275	661
294	276	660
295	277	659
296	277	657
297	278	656
298	279	655
299	280	654
300	281	653
301	282	652
302	283	651
303	284	650
304	285	649
305	285	648
306	286	647
307	287	646
308	288	645
309	289	643
310	290	642
311	290	641
312	291	640
313	292	639
314	293	638
315	294	637
316	295	635
317	295	634
318	296	633
319	297	632
320	298	631
321	299	630
322	300	629
323	301	628
324	302	627
325	302	626
326	303	625
327	304	624
328	305	623
329	306	621
330	307	620
331	308	619
332	308	618
333	309	617
334	310	616
335	311	615
336	312	614
337	312	612
338	313	611
339	314	610
340	315	609
341	316	608
342	317	607
343	318	606
344	318	605
345	319	604
346	320	603
347	321	602
348	322	601
349	323	600
350	324	599
351	324	598
352	325	597
353	326	595
354	327	595
355	328	594
356	329	593
357	330	592
358	331	591
359	331	589
360	332	589
361	333	587
362	334	586
363	335	586
364	336	584
365	337	583
366	337	582
367	338	581
368	339	580
369	340	579
370	341	578
371	342	578
372	343	576
373	344	575
374	344	574
375	345	573
376	346	572
377	347	571
378	348	570
379	348	569
380	349	568
381	351	567
382	352	567
383	352	566
384	353	565
385	354	564
386	355	563
387	356	562
388	357	561
389	358	560
390	359	559
391	360	558
392	361	557
393	361	556
394	362	555
395	363	554
396	364	553
397	365	552
398	366	552
399	367	551
400	368	550
401	369	549
402	370	548
403	371	547
404	372	546
405	373	545
406	374	544
407	375	544
408	375	543
409	376	542
410	377	541
411	378	540
412	379	539
413	380	538
414	381	537
415	381	536
416	382	535
417	383	534
418	384	533
419	385	532
420	386	532
421	387	531
422	388	530
423	389	529
424	390	528
425	391	527
426	392	526
427	393	525
428	394	525
429	395	524
430	396	523
431	397	522
432	398	521
433	399	520
434	399	519
435	400	518
436	401	517
437	402	516
438	403	515
439	404	514
440	405	513
441	406	512
442	406	511
443	407	510
444	408	509
445	409	508
446	410	507
447	411	506
448	411	505
449	412	504
450	413	503
451	414	502
452	415	501
453	416	500
454	417	499
455	418	499
456	419	498
457	420	497
458	421	496
459	422	495
460	423	495
461	424	494
462	425	493
463	426	492
464	427	491
465	428	490
466	429	489
467	430	488
468	430	487
469	431	487
470	432	486
471	433	485
472	434	484
473	435	483
474	436	482
475	437	481
476	438	480
477	439	479
478	440	478
479	441	478
480	442	477
481	443	476
482	443	475
483	444	474
484	445	473
485	446	472
486	447	471
487	448	470
488	448	469
489	449	468
490	450	467
491	451	466
492	452	465
493	453	464
494	454	463
495	454	462
496	455	461
497	457	461
498	458	460
499	459	459
500	459	458
501	460	457
502	461	456
503	462	455
504	463	454
505	464	453
506	465	452
507	466	451
508	467	450
509	468	449
510	468	448
511	469	447
512	470	446
513	471	445
514	472	444
515	473	443
516	474	442
517	475	442
518	476	441
519	476	440
520	477	439
521	478	438
522	479	437
523	480	436
524	481	435
525	481	434
526	482	433
527	483	432
528	484	431
529	485	430
530	486	429
531	487	428
532	487	427
533	488	426
534	489	425
535	490	424
536	491	423
537	492	422
538	492	421
539	493	420
540	494	419
541	495	418
542	496	417
543	497	416
544	497	415
545	498	414
546	499	413
547	500	412
548	501	411
549	501	410
550	502	409
551	503	408
552	504	407
